상품명,설명,맛 평가,재료,레시피
애플 마티니,"보기만해도 새콤한 풋사과 맛이 느껴질 것만 같은 초록빛을 띄는 애플마티니! 1996년에 '아담 카스턴'이라는 바텐더가 만든 애플 마티니는 다른 칵테일에 비해 비교적 짧은 역사를 가졌지만, 미국 드라마 '섹스앤더시티'에도 자주 등장하며 특히 여성분들 사이에서 굉장히 인기가 많았습니다.
 아이러니하게도 기존의 마티니와의 공통점은 딱 한 가지, 트레이드마크인 역삼각형 모양의 글라스 뿐인데요. 일반적으로 불리는 '마티니'는 드라이 진과 베르무트를 사용하는 반면에, 애플 마티니는 보드카와 사과 리큐르로 조금 더 상큼하고 부드러운 맛을 즐길 수 있답니다.","도수 ★★★
단맛 ★★☆
신맛 ★★☆
쓴맛 ★☆☆
탄산 ☆☆☆
얼음 ☆☆☆","보드카  1 oz
애플퍼커  1 oz
라임주스 1/2 oz
(+) 가니쉬: 사과 슬라이스","1. 마티니 글라스에 얼음을 미리 채워 칠링 시킨다.
2. 쉐이커에 얼음을 가득 채우고 모든 재료를 따라넣는다.
3. 10-15회 정도 부드럽게 쉐이킹해준다.
4. 글라스에 얼음을 빼고 쉐이커에서도 얼음 없이 내용물을 따른다.
5. 사과 슬라이스로 장식한다."
스크류드라이버,"한국에서는 단순히 '드라이버'라고 불리는 공구의 이름을 가진 칵테일, 스크루 드라이버! 굉장히 단순한 레시피를 가진 반면에 이 칵테일의 유래에 대해서는 매우 많은 가설이 있답니다. 그 중에서 가장 흔히 알려진 이야기는 미국 노동자들이 감독관 몰래 술을 마시기 위해 주스에 보드카를 타서 가지고 있던 공구로 휘저었다는 내용이죠.
 도수가 높은 보드카가 들어가지만 오렌지 주스의 맛이 워낙 강해서 술 맛이 거의 나지 않는 칵테일로도 유명하답니다. 칵테일 바에서 주문할 때, 바텐더에게 부탁드려서 보드카의 양을 조정할 수 있는 경우도 많으니 기호에 맞게 드시기 바랍니다!","도수 ★☆☆
단맛 ★★☆
신맛 ★★☆
쓴맛 ★☆☆
탄산 ☆☆☆
얼음 ★★☆","보드카 1 oz 
오렌지 주스 Fill Up
(+) 가니쉬: 오렌지 슬라이스
  Tip: 보드카의 양은 기호에 맞게 조정하기!","1. 글라스에 얼음을 먼저 채운다.
2. 보드카와 오렌지 주스를 순서대로 따른다.
3. 바 스푼으로 잘 저어주고 가니쉬로 장식한다.
Tip: 집에서 초-초초간단한하게 하려면 얼음도 생략, 가니쉬도 생략 가능"
화이트 러시안,"화이트 러시안은 이전에 소개드렸던 블랙 러시안에 크림 또는 우유를 추가한 버전인데요! 그래서 블랙 러시안과 마찬가지로, 흰색이며 러시아 술인 보드카가 들어간다는 의미로 매우 직관적인 이름을 가지고 있죠. 국제 바텐더 협회(IBA)의 레시피에서는 생크림을 사용하지만, 국내 칵테일 바에서는 우유로 만든 화이트 러시안을 더 흔히 볼 수 있습니다.
 달달하고 부드러운 맛을 가진 화이트 러시안은  지금의 명성과 달리 초기에 꽤나 긴 무명 시절을 거쳤습니다. 그러다 1998년에 ""위대한 레보스키"" 라는 영화에서 주인공이 화이트 러시안을 즐겨마시는 장면들이 자주 나오면서 폭발적인 인기를 가지게 되었답니다.","도수 ★★★
단맛 ★★☆
신맛 ☆☆☆
쓴맛 ★★☆
탄산 ☆☆☆
얼음 ★☆☆","보드카  1 + 2/3 oz
깔루아  2/3 oz
생크림 또는 우유  1 oz
  Tip: 생크림은 묵직하고 달달한 맛, 우유는 부드럽고 고소한 맛을 내기 때문에 취향에 따라 선택!","1. 올드패션드 글라스에 얼음을 미리 넣어 칠링 시킨다.
2.  보드카와 깔루아를 먼저 순서대로 따른다.
3. 크림 또는 우유를 조심스럽게 부어서 층을 만들어준다."
피냐콜라다,"""삐냐(piña)""는 스페인어로 파인애플을 의미하며, 한국에서는 외래어 표기법에 의해 ""피냐"" 또는 ""피나""로 통용된답니다. 즉, 피냐콜라다는 새콤달콤한 파인애플과 진한 코코넛 향이 어우러진 열대 칵테일이죠! 푸에르토리코의 공식음료로 지정되어 많은 사랑을 받고 있음과 동시에, 흥미롭게도 피나콜라다의 레시피 창시자에 대한 의견이 분분한데요.
 19세기에 한 해적이 선원들을 위해 처음 만들었다는 주장과 반면에, 1954년에 '로베르토 코프레시'라는 바텐더가 코코넛 속을 파서 만든 그의 시그니쳐 레시피라고도 합니다. 하지만 또 다른 바텐더가 코코넛 대신 파인애플로 현재 알려진 피나콜라다 레시피를 완성했기에, 이 칵테일의 창시자를 누구라고 명명할지 참 난관이죠!","도수 ★☆☆
단맛 ★★☆
신맛 ★☆☆
쓴맛 ★☆☆
탄산 ☆☆☆
얼음 ★★★","화이트 럼 1 + 1/4 oz
피냐콜라다 믹스 2 oz
파인애플 주스 2 oz
(+) 가니쉬: 파인애플 웨지 & 체리
  Tip: 국제 바텐더 협쇠 (IBA) 레시피는 럼과 코코넛 향이 강해짐!
화이트 럼 1 + 2/3 oz
코코넛 크림 1 oz
파인애플 주스 1 + 2/3 oz
(+) 가니쉬: 파인애플 웨지 & 체리","1. 글라스에 얼음을 채워 미리 칠링해둔다.
2. 얼음 1 스쿱(각얼음 기준 4~5개)을 믹서기에 다른 재료들과 함께 갈아준다.
3. 글라스의 얼음을 빼고 믹서기의 내용물을 따른다.
4. 파인애플 웨지와 체리로 장식해준다.
Tip: 믹서기에 가는 '블랜드 기법'은 IBA 레시피에도 마찬가지, 이때 주스 대신 실제 파인애플을 사용해도 맛있음!"
파우스트,"파우스트는 독일의 유명한 고전작가 괴테의 희곡을 모티브로 만들어졌다고 하는데요! 악마와 계약을 맺은 주인공이 결국엔 영혼을 빼앗기는 비극적인 내용의 작품이라고 합니다. 어쩌면, 이 칵테일도 조심하지 않으면 비극적인 흑역사로 남을지도 모르죠...
 파우스트에는 '오버프루프 럼', 즉 표준량보다 더 높은 알콜 함량을 지닌 럼이 들어간답니다. 특유의 붉은 색감은 '크렘 드 카시스'라는 베리 리큐르 때문인데요! 그래서 마치 악마의 유혹처럼 달콤하면서 금방 죽을 수도 있는 어마어마한 칵테일이랍니다.","도수 ★★★
단맛 ★★★
신맛 ☆☆☆
쓴맛 ★★☆
탄산 ☆☆☆
얼음 ★☆☆","오버프루프 럼 1 oz
화이트 럼 1 oz
크렘 드 카시스 1/2 oz
Tip: 대표적으로 사용되었던 오버프루프 럼은 '바카디 151'이었으나, 2016년에 단종된 이후 주로 '론디아즈 151' 등의 제품으로 대체","1. 올드패션드 글라스에 얼음을 2/3 정도로 채워준다.
2. 오버프루프 럼, 화이트 럼, 카시스 순서대로 따른다.
3. 잘 섞이도록 바 스푼으로 저어준다.
Tip: 카시스 특유의 진하고 끈적거리는 특성 때문에 다른 술과 잘 섞이도록 충분히 저어줘야 함!"
오르가즘,"오르가즘은 마시면 달콤하고 깊은 맛에 절정을 느낀다 하여 붙여진 이름이라는 이야기가 있죠! 한때 섹스와 연관된 이름의 칵테일을 만드는 것이 유행이었다고 합니다. 2006년에 국제 바텐더 협회(IBA)에 등록되었으나, 이후 2011년 말에 다시 제외되고 IBA 공식 레시피 외에도 다양한 레시피와 변형된 버전의 오르가즘 칵테일이 생겼답니다.
 그 중에서 “BACK” 레시피라고 하여 베일리스(B), 아마레또(A), 크림(C), 깔루아(K)로 만든 오르가즘을 흔히 찾을 수 있습니다. 이를 변형한 “Screaming Orgasm”은 오르가즘 레시피에 보드카를 추가하여 더욱 강렬하게 술기운을 느낄 수 있죠.","도수 ★★☆
단맛 ★★★
신맛 ☆☆☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ★☆☆","베일리스 1 oz
아마레또 1 oz
깔루아 1 oz
하프앤하프 크림 1 oz
(+) 가니쉬: 체리
Tip: 크림 대신에 우유를 사용해도 깔끔하고 맛있음! 도수 조절을 위해 크림 또는 우유의 비중을 늘려도 좋음","1. 글라스에 얼음을 3-4개 넣는다.
2. 쉐이커에 얼음을 가득 채우고 베일리스, 아마레또, 깔루아를 따른다.
3. 글라스에 얼음이 나오지 않도록 쉐이커의 내용물만 따른다.
4. 크림 또는 우유를 따르고 체리로 장식한다.
Tip: 쉐이커가 없는 경우, 글라스에 재료를 순서대로 따라넣는 빌드 기법으로도 가능함"
위스키 사워,"칵테일에 ‘사워(Sour)’가 붙으면 신 맛이 특징적이라는 뜻인데요, 그 중에서 버번 위스키에 레몬 주스를 넣어 새콤하고 청량감 있게 마시는 것이 바로 위스키 사워랍니다. 살짝의 설탕을 이용하여 단 맛과 신 맛의 밸런스를 맞추는 것이 관건이라고 해요.
 무려 150년이 넘은 레시피로서 그 유래는 정확히 알 수 없지만, 원조 레시피에는 계란 흰자를 넣어 더욱 깊고 부드러운 맛을 내었답니다. 현대 조주기능사 레시피에서는 빠진 재료지만, 한번쯤 원조 레시피대로 위스키 사워를 파는 칵테일 바를 찾아 맛보는 것도 추천해요!","도수 ★★☆
단맛 ★★☆
신맛 ★★☆
쓴맛 ★☆☆
탄산 ★☆☆
얼음 ☆☆☆","버번 위스키 1 + 1/2 oz
레몬주스 1/2 oz
설탕 1 tsp
탄산수 1 oz
(+) 가니쉬: 슬라이스 레몬 & 체리","1. 칵테일 글라스에 얼음을 가득 채워 칠링한다.
2. 쉐이커에 얼음을 채우고 위스키, 주스, 설탕을 넣고 부드럽게 흔들어준다.
3. 칠링된 글라스의 얼음을 빼고, 쉐이커의 얼음이 나오지 않도록 내용물을 따른다.
4. 탄산수를 따르고 바 스푼으로 가볍게 저어준다.
5. 칵테일 픽을 이용하여 레몬과 체리로 장식한다.
*칠링 - 글라스에 얼음을 넣어 미리 차갑게 만드는 것"
모스코 뮬,"모스코 뮬은 이름과 달리 러시아가 아닌 미국에서 1940년경에 만들어진 칵테일인데요, 당시 판매율이 부진했던 스미노프 보드카의 홍보를 위해 처음 만들었다고 합니다. 이 칵테일의 폭발적인 인기로 미국 전역에 보드카가 유명해진 계기가 되었죠.
 칵테일 서빙을 위해 노새가 그려진 구리 머그를 대량 구입하면서 ‘모스크바의 노새’라는 이름이 붙게 되었어요. 그 이후로 모스코 뮬은 구리 컵에 서빙되는게 일종의 국룰이라고 하네요! ","도수 ★★☆
단맛 ★☆☆
신맛 ★☆☆
쓴맛 ★☆☆
탄산 ★★☆
얼음 ★★☆","보드카 1 + 1/2 oz
라임 주스 1/2 oz
진저에일
(+) 가니쉬: 레몬 슬라이스
*슬라이스: 과일을 세로 단면으로 자른 모양","1. 하이볼 글라스에 얼음을 채운다.
2. 보드카와 라임 주스를 넣는다.
3. 진저에일로 남은 공간의 80%를 채우고 가볍게 저어준다.
4. 레몬 슬라이스로 장식한다.
Tip: 정통 구리 머그컵이 있다면 분위기 Up!"
옥보단,"‘옥보단’은 본래 중국의 고전 에로소설의 제목으로, 이를 각색한 홍콩 성인영화 ‘육보단’의 한국 상영 제목이기도 했답니다. 즉, 이 칵테일은 성인영화를 이름으로 따온 만큼 아주 화끈한 이야기를 가지고 있죠!
 마가리타 글라스에 서빙되는 옥보단은 아래에서 보면 마치 여성의 가슴처럼 보이기도 하며, 옥보단을 마시다보면 잔 주위의 설탕이 입가에 묻어서 핥아먹는 모습까지 야릇한 분위기를 자아낸다고 합니다.","도수 ★☆☆
단맛 ★★★
신맛 ★☆☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ☆☆☆","복숭아 리큐르 1/2 oz
말리부 럼 1/2 oz
그레나딘 시럽 1/2 oz
레몬 주스 1/2 oz
라임 주스 1/2 oz
오렌지 주스 2/3 oz","1. 쉐이커에 얼음 넣고 그레나딘 시럽을 제외한 모든 재료들을 흔들어준다.
2. 마가리타 글라스의 테두리에 라임즙을 바르고 설탕을 묻혀준다.(리밍)
3. 쉐이킹한 재료는 얼음이 나오지 않도록 걸러서 글라스에 따른다.
4. 시럽을 천천히 부으며 섞이지 않도록 층을 유지한다.(플로팅)
*리밍 - 글라스의 테두리를 따라 설탕이나 소금을 묻히는 기법
*플로팅 - 칵테일의 층을 유지하며 재료를 천천히 띄우는 기법
 "
준벅,"준벅(June Bug)이라는 이름은 6월에 자주 등장하는 곤충을 본 따 만든 것이라는 설이 있는데요! 메인 재료인 멜론 리큐르가 준벅의 특징적인 초록 색감을 만들어주며, 달달한 멜론과 함께 다양한 열대과일의 맛을 느낄 수 있는 칵테일입니다.
 초여름의 푸르름을 표현한 이 칵테일은 재미있게도 레스토랑 체인 TGI Fridays의 국내 지점에서 개발되었다고 합니다. 해당 레스토랑의 웹사이트에 의하면 “한국인이 만든 세계적인 칵테일”이라고 소개되어 있죠.","도수 ★☆☆
단맛 ★★★
신맛 ★☆☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ★★☆","미도리 1 oz
말리부 1/2 oz
크렘 드 바나나 1/2 oz
스윗 앤 사워 믹스 2 oz
파인애플 주스 2 oz
(+) 가니쉬: 웨지 파인애플 & 체리
Tip: 기호에 따라 사워믹스를 줄이고 설탕시럽을 추가하여 조금 더 달달하게 마실 수 있음","1. 글라스에 얼음을 담아 칠링 시킨다.
2. 쉐이커에 얼음과 함께 모든 재료를 넣고 강하게 흔들어준다.
3. 글라스의 얼음을 빼고 쉐이커의 내용물을 얼음이 나오지 않도록 따른다.
4. 웨지 파인애플과 체리로 장식해준다."
블루사파이어,"블루사파이어는 보석처럼 영롱하게 빛나는 푸른 색감과 청량한 맛이 특징적인 칵테일이죠! 간혹 블루하와이 또는 블루하와이언이라는 칵테일과 헷갈려 하는 경우도 있는데, 이 둘의 가장 큰 차이는 맛과 탄산의 유무라고 볼 수 있겠습니다.
 하와이 계열의 칵테일에는 파인애플 주스가 들어가서 맛이 새콤하고 색이 탁한 반면, 블루사파이어에는 토닉워터 또는 사이다를 넣어 상큼청량한 맛과 투명한 색감이 특징적이랍니다.","도수 ★★☆
단맛 ★★★
신맛 ★★☆
쓴맛 ☆☆☆
탄산 ★★☆
얼음 ★★☆","블루큐라소 1/2 oz
피치트리 1/2 oz
말리부 1/2 oz
레몬주스 1/2 oz
토닉워터 또는 사이다 등의 탄산수
Tip: 레몬주스도 라임주스 또는 샤워믹스로 대체 가능","1. 탄산수를 제외한 모든 재료를 얼음과 함께 쉐이커에 담는다.
2. 강하게 쉐이킹을 해준 후 얼음과 함께 글라스에 따른다.
3. 탄산수로 남은 공간을 채워준다.
Tip: 가니쉬는 대체로 레몬 웨지 또는 슬라이스로 장식함"
쿠바리브레,"뜻깊은 역사적 배경을 지니고 있는 칵테일, 쿠바리브레! 쿠바의 독립운동 당시 생겨난 ""Viva cuba libre(자유 쿠바 만세)""의 구호에서 유래되어 자유와 화합을 상징하는 칵테일이랍니다.
 쿠바리브레에 콜라가 들어가서 언뜻 보면 롱아일랜드 아이스티와 비슷해 보이지만, 술은 럼 하나만 들어가기 때문에 훨씬 도수가 낮답니다. 유명한 미국 시트콤 '빅뱅이론'에서 주인공이 '버진 쿠바리브레(즉, 럼을 뺀 그냥 콜라..)'를 주문하는 재미있는 에피소드도 있었죠!","도수 ★☆☆
단맛 ★★☆
신맛 ★☆☆
쓴맛 ☆☆☆
탄산 ★★★
얼음 ★★☆","화이트 럼 1 + 1/2 oz
라임 주스 1/2 oz
콜라
(+) 가니쉬: 라임 웨지
*웨지 - 과일을 한입 크기로 대각선으로 자른 모양","1. 잔에 얼음을 가득 채운다.
2. 럼과 라임주스를 먼저 따른다.
3. 남은 공간은 콜라로 채우고 천천히 저어준다.
4. 라임 웨지로 장식해준다."
피치크러시,"너무나 유명한 피치크러시, 상콤달콤한 복숭아와 크랜베리의 조화에다 낮고 부담없는 알콜도수 덕분에 많은 사랑을 받고 있죠. 하지만 그 유명세와 달리, 국내 조주기능사 또는 국제 바텐더 협회(IBA)에 정식으로 등록되지 않은 칵테일이랍니다.
 정형화된 레시피가 없다보니, 오히려 바텐더마다의 특별한 레시피로 더욱 다양하게 즐길 수 있는게 매력이죠! 실제 복숭아를 으깨어 청으로 넣어서 더욱 달달하게 서빙되는 곳도 있답니다.","도수 ★☆☆
단맛 ★★★
신맛 ★★☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ★★☆","복숭아 리큐르 1 + 1/2 oz
스윗앤사워믹스 2 oz
크랜베리주스
Tip: 공식 레시피가 없기 때문에 재료도 천차만별! 스윗앤사워믹스 대신 레몬주스를 사용하거나 복숭아 청 또는 시럽을 추가하는 등 취향에 맞게 도전~","1. 글라스에 얼음을 채운다.
2. 복숭아 리큐르와 스윗앤사워 믹스를 따른다.
3. 남은 공간은 크랜베리 주스로 채우고 가볍게 저어준다.
Tip: 재료를 순서대로 글라스에 따르는 '빌딩' 기법 외에도 쉐이커로 한번 쉐이킹을 해주는 방법도 있음! "
하이랜드 쿨러," 이름에 '쿨러'가 붙는 칵테일은 대체로 청량감이 있고, 길쭉한 원통형의 하이볼 글라스에 제공되는 차가운 칵테일을 의미해요. 하이랜드 쿨러는 스코틀랜드의 하이랜드 지방에서 만든 스카치 위스키를 사용하여 만든 하이볼의 변형이랍니다.
 대표적인 하이랜드 지방의 위스키로는 글렌드로낙, 달위니 등이 있죠. 이 칵테일은 흔히 알고 있는 하이볼과 비슷하게 위스키 향이 은은하게 나면서 시원한 청량감이 느낄 수 있는 맛이랍니다.","도수 ★☆☆
단맛 ★★☆
신맛 ★☆☆
쓴맛 ☆☆☆
탄산 ★★★
얼음 ★★☆","스카치 위스키 1 + 1/2 oz
레몬 주스 1/2 oz
설탕시럽 1/2 oz
진저에일","1. 하이볼 글라스에 얼음을 채운다.
2. 스카치 위스키, 레몬주스, 설탕시럽을 차례대로 글라스에 따른다.
3. 진저에일오 남은 공간을 채우고 가볍게 저어준다.
Tip: 세게 저으면 탄산이 쉽게 빠지기 때문에 천천히 저어야 함"
코스모폴리탄,"코스모폴리탄은 예쁜 색과 달콤새콤한 맛의 이면에 20도 이상의 무시무시한 도수를 지니고 있답니다. 도수 높은 술 답게 비교적 양이 적은 역삼각형 모양의 칵테일 글라스에 담겨서 서빙이 되죠!
 인기 있는 미국 시트콤 '섹스 앤 더 시티'에서 주인공 캐리가 즐겨마시는 것으로 더욱 유명해진 칵테일이예요. 붉은 색감을 만들어주는 크랜베리 주스를 빼면 더욱 술맛이 강한 '카미카제'라는 칵테일이 된답니다.","도수 ★★★
단맛 ★★☆
신맛 ★★☆
쓴맛 ★☆☆
탄산 ☆☆☆
얼음 ☆☆☆","보드카 1 oz
트리플섹 1/2 oz
라임 주스 1/2 oz
크랜베리 주스 1/2 oz
(+) 가니쉬: 레몬 필 트위스트
* 필 트위스트 - 과일의 껍질을 나선형으로 깍은 모양","1. 칵테일 글라스에 얼음을 2-3 조각 넣어 칠링한다.
2. 쉐이커에 얼음과 모든 재료를 넣고 쉐이킹한다.
3. 글라스 안에 있던 얼음을 버린 후 쉐이커에서 얼음을 제외하고 내용물을 따른다.
4. 레몬 필 트위스트로 장식한다.
*칠링 - 미리 글라스를 차갑게 냉각시키는 것"
진토닉," 진토닉의 유래는 굉장히 흥미로운데요! 과거 영국이 인도를 식민지로 지배하던 시절, 말라리아 예방을 위해 복용했던 퀴닌의 쓴 맛을 가리기 위해 물, 설탕, 라임, 그리고 군인들에게 지급되던 진을 섞어 마셨던 것에서 시작되었다고 합니다.
 여기서 물, 설탕, 퀴닌 조합에 탄산까지 추가되어 발전한 것이 우리가 아는 토닉워터죠! 하지만 한국에서는 퀴닌이 의약품으로 분류되어 토닉워터 제조과정에서 빠지기 때문에 외국의 토닉과는 맛이 조금 다를 수 있답니다.","도수 ★☆☆
단맛 ★★☆
신맛 ☆☆☆
쓴맛 ☆☆☆
탄산 ★★★
얼음 ★★☆","진 1 + 1/2 oz
토닉워터
(+) 가니쉬 - 레몬 슬라이스
*슬라이스 - 과일을 한 입 크기로 반달 모양의 평면으로 자른 모양","1. 글라스에 얼음을 채운다.
2. 진을 먼저 따르고 토닉워터로 남은 공간을 채워준다.
3. 천천히 저어준 후 레몬으로 장식한다.
Tip: 레몬은 넣기 전에 살짝 즙을 짜주면 더 상큼한 맛을 낼 수 있음"
아그와밤," 작은 호리병 모양의 전용잔이 트레이드마크인 아그와밤! 밑에는 주황빛 에너지 드링크가, 위에는 녹색빛 아그와가 선명하게 나뉘어져 있기 때문에 한번에 원샷하며 마셔야 두 맛을 제대로 즐길 수 있답니다.
 아그와는 코카 잎과 녹차, 생강 등의 원료로 만들어진 허브 리큐르이며 제조 과정에서 코카인 마약성분이 제거되고 특유의 상쾌한 풀잎 향이 남는다고 합니다. 30%의 도수를 가진 아그와, 그리고 에너지를 확 올려주는 레드불을 합친 아그와밤은 파티에서 텐션 UP 시키기 딱이죠!","도수 ★★★
단맛 ★★☆
신맛 ☆☆☆
쓴맛 ★★☆
탄산 ★☆☆
얼음 ☆☆☆","아그와 1 oz
레드불 2 oz
(+) 전용잔
Tip: 아그와 전용잔의 호리병 모양이 층을 쌓는 '플로팅'기법을 사용하기에 용이하지만, 일반 샷잔으로도 가능함","1. 샷잔에 레드불을 먼저 따른다.
2. 기포가 어느정도 사라지면 잔을 기울여서 최대한 벽면을 따라 천천히 아그와를 따르며 두 층을 유지한다.
Tip: 레드불은 취향에 따라 핫식스로 대체 가능"
섹스온더비치,"굉장히 핫-한 이름으로 유명한 섹스온더비치는 1987년, 미국의 마이애미 해변에서 처음 시작되었는데요! 당시 한 칵테일 경연에 참가했던 바텐더, 테드 피지오가 개발한 칵테일로 알려져 있습니다.
 피치 스냅스(복숭아 향의 리큐르 종류)를 선전하는 이 경연에서 피지오는 마이애미 해변을 상징하는 칵테일을 구상했죠. 그는 관광객들이 그 곳을 찾는 가장 큰 이유가 바로 '섹스'와 '해변'이라 생각하여 이와 같은 이름을 붙였다고 합니다.","도수 ★☆☆
단맛 ★★★
신맛 ★★☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ★★☆","보드카 1 + 1/3 oz
피치 스냅스 2/3 oz
크랜베리 주스 1 + 1/3 oz
오렌지 주스 1 + 1/3 oz
(+) 가니쉬: 오렌지 슬라이스
*슬라이스 - 과일을 세로 단면으로 얇게 자른 모양","1. 글라스에 얼음을 채운다.
2. 보드카와 피치 스냅스를 먼저 따른다.
3. 오렌지와 크렌베리 주스를 따른다.
4. 오렌지 슬라이스로 장식한다.
Tip: 섹스온더비치 레시피에서 오렌지 주스를 빼면 '우우'라는 칵테일이 되는데, 오렌지 주스를 별로 안 좋아한다면 추천!"
블루하와이안,"영롱한 푸른색감을 자랑하는 블루하와이안은 럼을 기반으로 한 칵테일이예요. 이와 매우 비슷한 '블루하와이'도 있는데, 기본적으로 두 칵테일의 차이는 코코넛 맛의 유무랍니다. 블루하와이안에만 코코넛 크림 또는 그 향이 가미된 말리부 럼이 들어가죠.
 이 칵테일은와이키키에 위치한 힐튼 하와이안 빌리지 호텔의 유명한 바텐더, 해리 예(Harry Yee)로 부터 개발되었답니다. 이와 같은 트로피컬 계열의 칵테일을 여러 종류 개발해냈던 당시 최고의 인기 바텐더였다고 해요!","도수 ★★☆
단맛 ★★★
신맛 ★☆☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ★★★","화이트 럼 1 oz
블루 큐라소 1 oz
말리부 럼 1 oz
파인애플 주스 - 2 + 1/2 oz
(+) 가니쉬: 웨지 파인애플 & 체리
*웨지 - 과일을 한 입 크기로 대각선으로 자른 모양","1. (선택) 글라스에 미리 얼음을 넣어 칠링한다.
2. 쉐이커에 모든 재료를 넣고 쉐이킹해준다.
3. 글라스에 넣어뒀던 얼음을 새 것으로 갈아주고 쉐이킹한 재료를 따른다.
4. 칵테일 픽으로 체리와 파인애플을 꽂아 장식한다.
Tip: 조주기능사 레시피에는 말리부 럼을 사용하지만 더 단 맛을 위해 코코넛 크림으로 대체해도 맛있음"
블랙러시안,"블랙러시안은 이름이 매우 직관적인데요, '검은색'을 띠고 '러시아' 술인 보드카가 들어가서 지어졌다고 합니다. 커피 리큐르인 깔루아가 들어가기 때문에 향긋한 커피향을 느끼면서 취할 수 있는 도수가 높은 칵테일이죠.
 블랙러시안에 우유 또는 크림을 넣어서 조금 더 부드럽게 마실 경우엔 화이트 러시안이 된답니다. 재미있게도 보드카 대신 소주를 넣어 만든 '블랙 코리안'도 있다고 하네요!","도수 ★★★
단맛 ★★★
신맛 ☆☆☆
쓴맛 ★★☆
탄산 ☆☆☆
얼음 ★☆☆","보드카 1 oz
깔루아(커피 리큐르) 1/2 oz","1. 올드패션드 글라스에 얼음을 3-4개 넣는다.
2. 베이스인 커피 리큐르부터 따른다.
3. 보드카까지 따르고 저어준다.
*올드패션드 글라스 - 위아래가 짧은 원통형의 잔(짧둥한!)"
베일리스 밀크,"베일리스는 1974년 아일랜드에서 만들어진 세계 최초의 '크림 리큐르'라고 해요. 낙농업과 위스키로 유명한 지역에서 탄생하여 풍미 깊은 아이리쉬 크림과 진한 위스키, 그리고 고급스러운 초콜릿과 바닐라의 조화를 맛볼 수 있는 술이랍니다.
 부드러운 초콜릿 크림 맛을 자랑하는 베일리스는 칵테일 외에도 케이크, 아포가토, 밀크쉐이크 등 다양한 디저트에도 활용할 수 있답니다. 물론 우유만 섞어서 그 부드러움을 최대로 즐길 수 있는 '베일리스 밀크'도 훌륭하죠!","도수 ★☆☆
단맛★★★
신맛 ☆☆☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ★☆☆","베일리스 1 oz
우유 3 oz
Tip: 비율은 취향에 맞게 자유롭게 조절!","1. 올드패션드 잔에 얼음을 넣는다.
2. 베일리스를 먼저 따른 후 우유를 넣는다.
3. 완성해버렸다.
Tip: 얼음이 녹을수록 우유의 맛이 묽어지기 때문에 얼음은 많이 넣지 않는 것을 추천!
Tip: 대체로 우유+술 조합의 칵테일은 전반적으로 양이 적어서 짧은 원통형의 '올드패션드 글라스'를 사용함"
모히또,"모히또의 유래에는 다양한 가설이 있지만, 그 중에서 가장 유명한 것은 영국의 탐험가 프란시스 드레이크와 연관된 것입니다. 1586년에 드레이크가 쿠바 해안에 상륙하려고 했을 때, 당시 스페인의 왕이었던 필립 2세가 이를 아즈텍의 황금을 노린 공격으로 오해하고 무장한 채 기다렸다고 해요.
 정작 싸울 생각이 없었던 드레이크의 함선은 하바나 포대에서 몇 발 쏘지도 않았는데 바로 도망치자 스페인 군은 굉장히 의아해했죠. 이때 드레이크의 이름을 본따 만들어진 칵테일, ""Draque(또는 Drake)""가 모히또의 원조 레시피라고 합니다.","도수 ★☆☆
단맛 ★★☆
신맛 ★☆☆
쓴맛 ☆☆☆
탄산 ★★★
얼음 ★★☆","화이트 럼 1 + 1/2 oz
라임 주스 2/3 oz
백설탕 1/8 oz
민트 잎 6pcs
탄산수
(+) 가니쉬: 민트 잎과 라임 슬라이스
* 슬라이스 - 과일을 얇은 단면으로 조각내 자름","1. 민트 잎과 설탕, 그리고 라임 주스를 섞는다.
2. 탄산수를 소량 따르고 바 스푼으로 저어주며 설탕을 녹인다.
3. 얼음으로 잔을 채운 후 럼을 따른다.
4. 남은 공간은 탄산수로 채우고 재료를 가볍게 다시 섞어준다.
5. 민트 잎과 라임 슬라이스로 장식해준다.
Tip: 국제 바텐더 협회(IBA)의 레시피에 설탕을 사용하지만, 좀 더 잘 녹이기 위해 시럽으로 대체해도 맛있음!"
