상품명,주종,도수,용량,한 줄 설명,태그,맛,향미그래프,설명,
한주 35%,증류식소주,35%,360ml,서울시 무형문화재인 송절주 기능보유자에 의해 만들어지는 술,#정겨운 듯한 구수함 #편안한 목 넘김,누룩에서 느낄 수 있는 구수한 향이 평온함을 느끼게 해줄 거예요,"향의 계열:고소1,화사2|연상되는 향:우유,쌀밥|향의 강도:3|여운:3|바디:3","[한주?35%],?어떤 맛을 갖고 있나요?

술이 담긴 잔에 코를 가까이 해보세요.?

누룩에서 느낄 수 있는?구수한 향이 마음을 편안하게 해준답니다.?

그리고 술을 입에 담자마자 구수함은 더욱 진하게 퍼지면서 입안을 꽉 채워줄 거예요.?

물처럼 편안한 목 넘김을 가졌지만,?

삼킨 뒤에는 쌉쌀한 마무리와 함께 목 안을 따뜻하게 데워주는 작열감이 전해집니다.
[한주?35%],?어떤 음식과 잘 어울리나요?

한주?35%를?따뜻한 집밥에 반주로 곁들여보세요.?

된장 양념이 된 음식이라면 더 좋아요.?

구수한?술맛이 된장에서 느낄 수 있는

정겨운 분위기와 무척 닮았거든요.?

밥 한 숟갈에 술 한잔 걸치다 보면

문득 할머니께서 차려주셨던 밥상이 그리워지기도 할 거예요.
?
[한주?35%],?알고 마시면 더 맛있어요!

서울시 무형문화재 송절주 기능보유자

이성자님에 의해 만들어지며,?

로주두말빚이라는 옛 문헌 속 술 빚는 방법을 재현한 술이에요.?

이슬 로(露)에 술 주(酒)를 써서

이슬처럼 소주를 내린다는 의미이며,?

주로 이양주 방식으로 빚은 술을 소줏고리로 증류했다고 합니다.?

지금은 옛날처럼 소줏고리를 사용하여 빚지는 않지만,?

로주두말빚이 의미에 증류할 때 땀을 내듯

한 방울씩 떨어지는 모습까지 담아

한주라는 이름으로 새롭게 탄생했죠.
",
왕주 25%,일반증류주,25%,375ml,생강과 배의 화사함이 돋보이는 증류주,#알싸하면서 고소한 풍미 #은은한 배 향,생강의 알싸함과 강냉이의 고소함을 담았어요,"향의 계열:고소1,화사2|연상되는 향:생강,강냉이|향의 강도:3|여운:3|바디:3","[왕주?25%],?어떤 맛을 갖고 있나요?

향에서부터?생강의 알싸함과

강냉이를 닮은 고소함을 느낄 수 있는 술입니다.

증류주치곤 평범한 도수를 가졌지만

혀를 아리게 하는 매운맛을 꽤 강하게 느낄 수 있을 거예요.

목을 넘긴 뒤에는 배 향이 은은하게 퍼짐과 동시에

얼얼함과 씁쓸함이 남는답니다.
[왕주?25%]?어떤 음식과 잘 어울리나요?

휘발하는 알코올을 타고 술의 맛과 향이

모두 다 날아가지 않도록 재빨리 안주를 먹어보세요.

감칠맛과 더불어 점성이 있는 음식이라면

술의 풍미를 잡아두기 충분할 거예요.

술에 아린맛이 살짝 있는 편이라?

가급적 매운 음식은 피해주시는 게 좋습니다.
?
[왕주?25%],?알고 마시면 더 맛있어요!

직접 빚은 누룩과 멥쌀로 삼양주를 빚은 후

중압 증류?숙성을 거쳐 완성됩니다.

중압 증류란 상압과 감앖 사이의 중간 기압에서 증류하는 방식으로

상압 증류의 장점인 진한 풍미와 감압 증류의 장점인 깔끔함을

모두 살려낼 수 있는 것이 특징이에요.
",
[릴레이특가] 오미로제 투게더,과실주,12.00%,"375ml, 750ml",오크통에서 숙성을 거친 새콤한 오미자 와인,#오미자의 새콤쌉싸름함 #영롱한 로제 빛깔,침샘을 자극하는 오미자의 새콤함,단맛:2|산미:4|:탄닌:2|바디:3|탄산:0,"[오미로제?투게더],?
어떤?맛을?갖고?있나요?

오미자 향을 더욱 잘 느껴볼 수 있도록

와인 잔을 하나 준비해 보세요.?

술을 따르자마자 싱그러운 오미자 향이 잔에 가득 퍼질 거예요.?

술을 머금으면?입안 가득 침샘을 자극하는

오미자의 새콤한 산미를 느낄 수 있고요.?

그 뒤로 오미자의 달콤한 맛도 함께 경험할 수 있습니다.?

술을 마신 뒤?목까지 전해지는?씁쓸한 여운도?

고스란히 음미해보세요.
[오미로제?투게더],?
어떤?음식과?잘?어울리나요?

연인과의 기념일이나 친구들과 함께 어울리는 파티가 있다면

오미로제 투게더도 함께 즐겨보세요.?

술의 영롱한 로제 빛깔 덕에 분위기는 저절로 따라올 뿐만 아니라?

새콤달콤한 술맛은 식전주로 입맛을 돋우기에 좋거든요.?

또한?오미자의 새콤한 산미는 느끼한 맛을 잡아주기 때문에?

느끼하고 기름진 파티 음식으로 인해 무거워진 입안을

싹 씻겨 내려줄 거예요.?
?
[오미로제?투게더],?
알고?마시면?더?맛있어요!

오미자는 다섯 가지 맛을 가진 붉은색 열매예요.?

그중 오미자의 신맛,?쓴맛,?짠맛,?매운맛은

천연 방부제 역할을 하므로

술이 발효되는 과정에서 어려움을 줄 수 있어요.?

그렇기 때문에?발효에 방해하는 성분들은 물로 희석해주고,?

오히려 발효에 필요한 당 성분을 추가해줘요.?

희석된 오미자즙은 효모를 넣어?6개월가량 발효를 진행한 뒤,?

오크통에서?6개월 이상 숙성을 거친 후에

오미로제 투게더로 완성됩니다.
",
배금도가 포도막걸리,탁주,12.00%,"400ml, 785ml",김천 포도와 직접 디딘 누룩으로 만든 포도막걸리예요,#초코라테 색감을 가진 #새콤달콤한 포도막걸리,새콤달콤한 맛과 부드러운 질감 덕에 편안하게 넘어가요,단맛:3|산미:4|:씁쓸:3|바디:4|탄산:0,"[배금도가?포도막걸리],?
어떤 맛을 갖고 있나요?

술이 가지고 있는 은은한 포도향을

코에 담아보며 한잔 들이켜보세요.?

부드러운 질감과 진한 달콤함,?거기에 어두운 색감까지 더해져

마치 초코라테를 마신 듯한 기분을 떠올리게 할 거예요.?

뒤이어 입 안 가득 차오르는?새콤한 산미는

목을 칼칼하게 만드는 자극을 선사하죠.?

술을 넘긴 후에도 입 안에 남는

달콤쌉쌀한 여운까지 가득 담아보세요!

[배금도가?포도막걸리],?
어떤 음식과 잘 어울리나요?

매운 음식으로 인해 입 안이 얼얼하다 싶을 때쯤 한잔 걸쳐보세요!?

술이 가지고 있는 포도의 진한 달콤함과

술의 부드러운 질감으로 덮인 입 안은

언제 그랬냐는 듯 다시금 매운 음식에 손길이 가게 할 거예요.


또한 포도로 만든 달콤한 술인 만큼

디저트 와인처럼 가볍게 즐기기도 좋은데요.?

초코케이크처럼 진한 풍미가 있는 디저트와 함께 해보세요.?

술이 가지고 있는 달콤함과 조화를 이룰 뿐만 아니라,?

술의 새콤한 산미가 맛을 더욱 풍요롭게 채워주기 때문에

물릴 수 있는 음식의 맛을 가볍게 잡아줄 거예요.

[배금도가?포도막걸리],?
알고 마시면 더 맛있어요!

경상북도 김천시의 대표 특산물인 포도를 활용하여

세 번의 담금 과정을 거쳐 만든 삼양주입니다.?

밀?녹두?쌀을 배합하여 직접 디딘 누룩과 물

그리고 백설기를 혼합하여?1차 발효 과정을 거쳐요.?

시간이 지나 발효가 활성하게 진행되고 있을 때쯤,?

고슬고슬하게 찐 고두밥을 넣고?2차 발효하고

일정 기간이 지나면 고두밥과 포도를 넣고

마지막 발효 과정을 거치게 돼요.?

술이 완성되면 걸러낸 뒤?

100일 동안 숙성까지 거쳐야 포도 막걸리로 탄생합니다.
",
농태기 25%,증류식소주,25.00%,300ml,한국의 쌀과 북한의 양조법으로 만든 한민족의 술,#누룽지 사탕 같은 구수한 달콤함 #북한 농민들의 술,누룽지처럼 구수한 향을 가졌어요,"향의 계열:고소2|연상되는 향:누룽지,율무차,볏짚|향의 강도:2|여운:2|바디:2","[농태기],?어떤?맛을?갖고?있나요??

누룽지를 한소끔 끓인 듯 구수한?향이 배 있는 술이에요.

이어지는 맛도 마치 누룽지 사탕 하나 입에 물은 듯

달콤함을 느낄 수 있답니다.

무거운 향과 맛에 비해?깔끔한 목 넘김을 가졌기 때문에

계속 들이키다가 그만 얼~쑤 어깨춤을 추게 만들지도 몰라요!
[농태기],?어떤?음식과?잘?어울리나요?

거친 이미지를 가진 농태기는

그와 걸맞은 분위기의 음식과 잘 어울린답니다.

돼지국밥,?순댓국 같은 투박해 보이지만

깊은 맛을 가진 음식과 드셔보세요.

구수한 술 한 잔과 깊은 풍미를 가진 국물의 조합은

감칠맛을 더욱 끌어올려 줘요.
?
[농태기],?알고?마시면?더?맛있어요!

농태기는?북한의 언어로 농민들이 마시는 술을 의미합니다.

쌀이 귀해 술을 구하기 어려웠던 북한에서

집마다 조금씩 빚어 마셨던 밀주인데요.

한국에서 자라는 풍부한 농산물과 북한의 양조법이 합쳐져

비로소 새롭게 탄생한 한민족의 술이랍니다.
",
이도 25%,증류식소주,25.00%,"375ml, 750ml","세종 25년, 한글 창제를 기념한 도수의 소주",#세종대왕의 본명 이도 #세종25년 한글창제,곡물 소주의 달짝지근한 풍미를 느껴보세요,향의 계열:고소2|연상되는 향:쌀밥|향의 강도:3|여운:3|바디:3,"[이도 25], 어떤 맛을 갖고 있나요?

아무런 첨가물이 들어가지 않은 소주에서 단맛이 느껴진다면,

여러분들은 믿을 수 있으신가요?

‘이도 25’는?쌀 본연의 고소한 향과

달콤한 맛이 깊게 담긴 증류식 소주인데요.

목을 넘긴 후엔, ‘내가 지금 뭘 마시긴 한 건가?’

싶을 정도로?정말 부드럽고 깔끔하답니다.
[이도 25], 어떤 음식과 잘 어울리나요?

도수에 비해 매운맛은 옅고 은은한 단맛이 도는

‘이도 25‘는?차갑게 마실 땐 매운탕처럼 매콤한 탕 요리와

얼큰~하게 한잔하기에 좋고요.

고소한 풍미를 조금 더 느껴보고 싶다면 상온에 살짝 놔둔 후

더덕구이 같은?담백한 요리와 페어링 하는 것을 추천해 드립니다!

[이도 25], 알고 마시면 더 맛있어요!

’이도 25‘는 한글이 창제되었던 세종대왕 재위 25년째를

기리며 만들어진 증류식 소주입니다.

술의 의미만큼이나 ‘이도’가 특별한 이유는

유기농 쌀과 토종 효모 ‘N9’을 이용해 빚은 술이기 때문인데요.

부드러운 맛과 이취 차단을 위해 압력을 낮춰 증류하는

감압식 증류 방식으로 만들어지며,

일정하고 구수한 향을 위해?1년 넘게 숙성을 한답니다.

특히 이도는 쌀 소비량이 막걸리 대비 7배나 많다고 하니

놀랍지 않으신가요??
",
달홀진주 25%,증류식소주,25%,375ml,보배처럼 한 방울씩 정성스레 내린 강원도 고성의 증류주,#달콤한 향 #고소한 여운,통밀쿠키를 먹은 것처럼 고소한 풍미,향의 계열:고소2|연상되는 향:통밀쿠키|향의 강도:2|여운:2|바디:2,"[달홀진주?25%],?
어떤 맛을 갖고 있나요?

입안에서 술을 굴리면 달콤한 향이 입안을 부드럽게 감싸요.

그 덕에 술의 도수도 잊은 채 편안하게 넘기게 되죠.

하지만 술을 넘긴 직후부터는 알코올이 닿은 모든 구간이

서서히 얼얼해지는 것을 느낄 수 있을 거예요.

그리고?통밀쿠키를 먹은 것처럼

고소한 풍미가 맴돌며 여운을 남기고 사라집니다.
[달홀진주?25%],?
어떤 음식과 잘 어울리나요?

입과 속을 편안하게 해줄 수 있는?

간이 약한 음식과 함께해 보세요.

술이 선사한 얼얼함을 포근히 덮어줄 만한

삼삼한 메뉴가 필요하거든요.

이때 싱싱한 해산물이 들어가는 음식이라면

동해 인근에서 생산하는 달홀진주의 분위기를

한층 더 살릴 수 있을 거예요.
?
[달홀진주?25%],?
알고 마시면 더 맛있어요!

쌀가루와 백국을 섞어?3일을 보낸 뒤

고두밥을 혼합해?3주 동안 발효합니다.

그리고 한 달 동안 숙성해?상압 증류해요.

이때?중탕 가열 방식을 더해

?거칠고 탄 풍미를 낼 수 있는 상압 증류의 단점을 보완했죠.

만들어진 술은?1년 이상 숙성한 뒤 여과까지 거쳐 완성됩니다.
",
여유 25%,증류식소주,25%,375ml,논산에서 재배한 쌀로 만든 달콤하고 화사한 증류주,#코가 뻥 뚫리는 화사함 #여유 한 잔 챙겨보세요,알코올의 화사함이 술 마신 기분을 제대로 들게 할 거예요,향의 계열:화사2|연상되는 향:박하사탕|향의 강도:3|여운:3|바디:3,"[여유?25%],?어떤 맛을 갖고 있나요?

한 모금 들이켜는 순간

혀 위로?쌀의 달큰한 풍미가 은은하게 느껴져요.

하지만 그 순간은 잠깐일 거예요.

입맛을 다신 뒤부터?알코올의 화사함이 치솟으며

코를 뻥 뚫어주는 듯한?기분을 선사하거든요.

술을 넘긴 구간에도 옅은 작열감을 남기고 가기 때문에

제대로 술 마신 것 같은 느낌이 든답니다.
[여유?25%],?어떤 음식과 잘 어울리나요?

기름에 지지거나 버무린 한식 요리와 곁들여보세요.

쌀 소주 특유의 달콤한 감칠맛을 가진 만큼

한식과 찰떡궁합을 자랑한답니다.

게다가 기름진 음식의 느끼함도

술의 화사함이 가볍게 잡아주니

음식 맛이 물리지 않을까??하는 걱정은

잠시 넣어두기로 해요.
?

[여유?25%],?알고 마시면 더 맛있어요!

1956년 술춘에 담아 숙성과 보관을 했던

양촌양조장의 송광소주를 시대에 맞게 복원한 술이에요.

여유소주는 첨가물을 넣지 않고?100%?지역 쌀로 만든 원액을

저온에서 장기 숙성하여 만드는데요.

오랜 숙성을 거친 만큼

바쁜 현대인에게 여유 한 잔을 선물하고자

술 이름을 새롭게 붙였다고 합니다.

",
원소주 오리지널,증류식소주,22%,375ml,소주 전용 옹기에서 숙성을 거친 원소주의 첫 제품,#깔끔한 목 넘김 #잔잔한 화사함,잔잔한 화사함을 가진 깔끔한 증류주예요,"향의 계열:달콤2,화사1|연상되는 향:바나나,아카시아꽃|향의 강도:2|여운:2|바디:2","[원소주 오리지널],?
어떤 맛을 갖고 있나요?

잔에 코를 가져다 대면?바나나우유의 달콤한 향이 느껴져요.

술을 마시면 쌀의 고소한 풍미가 옅게 퍼지다가

아카시아에서 느낄 법한 잔잔한 화사함이 서서히 올라올 거예요.

깔끔한 목 넘김과 함께 술을 탁 넘긴 후에는

증류주답게 연한 작열감을 남기면서

혀가 얼얼해지는 것을 경험할 수 있어요.
[원소주?오리지널],?
어떤 음식과 잘 어울리나요?

전체적으로 깔끔한 맛을 갖고 있어?

모든 음식과 손색없이 잘 어울리는 편이에요.

그중에서도 꼽자면?재료 본연의 단맛을 지닌 안주와

함께하는 것을 추천해 드립니다.

술에서 느낄 수 있는 단맛을 더욱 살려주고

달콤함이 살짝 물릴 때쯤

술의 화사함이 가볍게 마무리해줄 테니까요.
?
[원소주 오리지널],?
알고 마시면 더 맛있어요!

원소주 오리지널은?원스피리츠에서 출시한 첫 제품으로

끓는 점을 낮춰 증류하는 감압 방식으로 만들어요.

그래서 상압 증류와는 다르게 높은 온도에서 생성되는

화학 물질이 적게 추출되어 깔끔한 맛을 자랑하죠.

증류를 마친 술은 담을 술 공방에서 공수해 온?

소주 전용 옹기에 담아 숙성을 거치게 돼요.

전통적인 숙성 방식을 거친 만큼 부드러운 맛은 물론

시간의 가치까지 담은 술이랍니다.
",
서울고량주 레드,일반증류주,35.00%,375ml,파인애플 향 솔솔 풍기는 한국 고량주,#중국집에서 마셨던 그 맛 #붉은색 라벨로 시선 집중,코와 입을 화려하게 자극하는 파인애플 풍미가 담겨 있어요,"향의 계열:달콤1,화사2|연상되는 향:파인애플|향의 강도:4|여운:3|바디:3","[서울고량주 레드],
어떤 맛을 갖고 있나요?

중국집에서 한잔 즐겼던 고량주가 그리우셨다면

잘 찾아오셨어요!

서울고량주 레드는?새콤달콤한 파인애플 향을

부드러우면서도 강하게 풍기는 술이에요.

맛에서도 파인애플?풍미가 강렬하게 느껴지며

시간이 지날수록 달콤한 바나나 풍미가

스멀스멀 올라오는 것도 느껴볼 수 있을 거예요.

목을 넘기는 동시엔 쓴맛이 훅 올라오고

높은 도수로 인해?입천장이 얼얼해지기도 하니

조금씩 음미하는 걸 추천해 드립니다.
[서울고량주 레드],
어떤 음식과 잘 어울리나요?

술을 마시고 난 뒤엔 입안이 살짝 텁텁해질 수도 있어요.

그럴 땐 기름진 중국 음식을 한입 가득 담아

촉촉함을 한 스푼 더해보세요.

고량주와 중국 음식의 완벽한 조합을 느낄 수 있을 거예요.

높은 도수가 부담스럽다면?탄산수나 사이다를 넣어

하이볼로 즐겨도 좋습니다.


[서울고량주 레드],
알고 마시면 더 맛있어요!

우리나라에서 수입하는 고량주 대부분은?생산지나

제조방식이 정확하지 않고,?중국에선?농약이 묻어있는

왕겨까지 사용하여 술을 빚는 까닭에 소비자에게

많은 불안감을 안기기도 했다고 해요.


이러한?불안감만 투명하게 해결할 수 있다면

국내 고량주 시장이 더욱 성장할 수 있을 거란 생각에

㈜한국고량주는 고량주 연구에 들어서게 됐고

5년간 연구&개발을 통해 2022년 서울고량주 레드를

출시하게 됐다고 합니다.
",
이강주 25%,리큐르,25.00%,375ml,다양한 약재가 들어간 만큼 풍성한 맛과 향을 자랑해요,#배와 생강이 들어간 #조선시대 명주,배와 꿀의 달콤함과 생강의 향긋함을 느낄 수 있어요,"향의 계열:달콤2,화사1|연상되는 향:식혜,계피,배|향의 강도:3|단맛:2|여운:3|바디:3","[이강주?25%],?어떤 맛을 갖고 있나요?

술을 머금은 동시에?배와 꿀의 달콤함과

향긋한 생강 향이 화사하게 퍼져요.?

그다음 느껴지는 계피 향이 입안을 묵직하게 눌러주며

술맛을 더욱 풍성하게 즐길 수 있도록 이끌어주죠.?

술의 물처럼 가벼운 목 넘김 덕에 그만

높은 도수를 방심하고 들이키게 되지만

금방 따뜻해진 목 안 느낌에 살짝 놀라게 될 거예요.

술을 넘긴 뒤에도?계피가 들어간 만큼 혀끝을 알싸하게 만드는

매콤함까지 놓치지 말고 입안 가득 담아보세요.
[이강주?25%],?어떤 음식과 잘 어울리나요?

양념이 곁들어진 고기 요리와 함께 해보세요.?

음식에 양념이 되어있는 만큼 술이

음식의 맛을 헤쳐지지 않을뿐더러

다채로운 술맛과 함께 입안 가득 풍성함을 선사해주거든요.?

또한 술의 도수와 계피,?생강에서 오는 알싸한 맛과 화사함이

고기의 기름진 맛을 잡아주기 때문에

음식 맛을 물리지 않게끔 도와줄 거예요.
?
[이강주?25%],?알고 마시면 더 맛있어요!

먼저 쌀?물?누룩과 함께 두 번 발효 과정을 거친

이양주로 만들어요.?

만들어진 술은 맑은 부분만 떠서

감압식 증류 방식으로 술을 내려요.?

그리고?배,?생강,?계피,?울금,?꿀을 침출하여 맛과 향을 입힌 다음?

1년 동안 숙성을 거친 후에 이강주로 완성됩니다.


조선시대?3대 명주 중 하나인 이강주는

梨(배나무 이),?薑(생강 강)을 써서 붙여진 이름으로

말 그대로 배와 생강이 들어간 술이에요.?

조정형 명인께서?집안 대대로 빚어오던 가양주를 계승하여

대중화한 전통 민속주랍니다.
",
자연담은 복분자 막걸리 4병 세트,살균탁주,6.00%,360ml,생쌀 발효를 거쳐 만든 복분자 막걸리,#부드러운 달콤함 #기력 회복에는 복분자,복분자의 달콤함이 입안에서 녹아내려요,단맛:4|산미:2|:씁쓸:1|바디:2|탄산:0,"[자연담은 복분자 막걸리],
어떤?맛을?갖고?있나요?

마치 꿀타래를 먹는 듯,

복분자의 달콤함이 입안에 사르르 녹아내려요.

탄산이 없어서 부드러운 목 넘김으로

꿀꺽꿀꺽 마실 수 있을 거예요.

술을 마신 후?여운으로 남는 고소함은

술의 풍미를 더욱 풍성하게 만들어 주기도 합니다.
[자연담은 복분자 막걸리],
어떤?음식과?잘?어울리나요?

매콤하게 양념 된 음식과 함께 해보세요.

포도 주스처럼 달콤한 맛을 가진 술인 만큼

매운맛을 잘 잡아줍니다.

부드럽게 느껴지는 술의 질감도 매운맛으로 자극 받은 입안을

편안하게 진정시켜 줄 거예요.

[자연담은 복분자 막걸리],
알고?마시면?더?맛있어요!

복분자와 생쌀을 함께 발효시켜 만든 막걸리예요.

이때 생쌀은 효모가 당분을 쉽게 먹고

알코올을 잘 만들 수 있도록 곱게 갈아서 사용합니다.

이렇게 만들어진 막걸리는?매우 고운 입자를 갖게 되며

깔끔한 맛과 부드러운 질감을 나타내게 돼요.
",
추사백 25%,일반증류주,25.00%,350ml,맑고 부드러운 사과 증류주,#깔끔하게 느껴지는 사과풍미 #부드럽게 넘어가는 사과 증류주,맑고 부드러운 사과의 풍미와 약간의 작열감을 천천히 느껴보세요,향의 계열:화사2|연상되는 향:사과|향의 강도:3|여운:3|바디:3,"[추사백25%],
어떤 맛을 갖고 있나요?

‘추사 백 25%’는?맑고 부드러운 사과 향과

살짝 매운 향을 느낄 수 있는 술이에요.

혀를 갖다 대는 순간엔?달콤한 사과의 풍미가 느껴지다가도

부드러운 목 넘김 뒤엔?약간의 작열감이 올라오는데요.

전체적으로?맛이 가볍고 여운이 길지 않아서

깔끔하게?즐길 수 있을 거예요.
[추사백25%],
어떤 음식과 잘 어울리나요?

맛과 향이 은은하게 풍기는 ‘추사 백 25%’는

얼음이나 물을 섞지 않고?술만을 천천히 음미하며

마시는 것을 추천해드려요.

이때?냉장고에 보관 후 시원한 상태로 마시게 되면

더욱더 싱그럽고 깔끔하게 즐길 수 있을 텐데요.

향긋한 과실의 풍미와 적당한 알콜감을 느낄 수 있는

술인 만큼?기름진 육류와 함께해 보세요!

[추사백25%],
알고 마시면 더 맛있어요!

‘추사 백 25%’은 가을에 수확한 예산 사과로 발효주를 만든 후,

감압식 증류를 통해 만들어지는데요.

이렇게 만들어진 증류주는 최소?1년간 숙성 과정을

거친 후에 병에 담기게 됩니다.
",
미상 25%,일반증류주,25.00%,350ml,맑고 깨끗한 감귤 증류식 소주,#감귤 소주 #부드러움 속 상큼함,부드럽고 깔끔하게 넘어가는 상큼한 감귤 증류주,"향의 계열:달콤2,화사1|연상되는 향:오크,큘,후추|향의 강도:4|여운:3|바디:3","[미상 25%], 어떤 맛을 갖고 있나요?

감귤을 증류하여 만든 ‘미상25’는?달콤한 감귤과

상큼한 사과의 풍미까지 느낄 수 있는 술입니다.

약간의 씁쓸함과 입안을 정리해주는?상쾌함을 갖고 있어서

질리지 않게 즐길 수 있는데요.

술을 넘긴 뒤에도?은은한 달콤함이 감칠맛을 돌게 하고

전체적으로 가볍고 부드러워 부담없이 마시기에도 좋습니다.
[미상 25%], 어떤 음식과 잘 어울리나요?

상큼한 과실의 풍미를 가진 ‘미상25’는

문어숙회, 초밥처럼 해산물 요리와

깔끔하게 드시는 것을 추천합니다.

상큼한 풍미 외에도

은은한 오크향과 상쾌한 느낌이 돋보이는 술인 만큼

수육, 삼겹살처럼 기름진 돼지고기 요리와도 잘 어울립니다.

작은 잔에 담아 그 매력에 천천히 빠져보세요.?


[미상 25%], 알고 마시면 더 맛있어요!

‘미상 25’는 제주 신례리 마을에서 재배한 감귤을 발효 한 후

압력을 낮춰 증류하는?감압식 증류 방식을 통해

깔끔하고 부드러움을 살린 술입니다.

‘미상 25%’는 총 2번의 증류 후에?오크통에서 숙성시킨

또 다른 감귤증류주 원액과 블렌딩하여 만들어집니다.
",
고흥 유자주 8%,살균약주,8.00%,500ml,달달한 유자향 한 가득,#특별한 하루를 위하여 #달콤한 유자향,유자차처럼 달콤한 맛을 지닌 달콤고소한 약주,단맛:4|산미:3|:씁쓸:1|바디:2,"[고흥 유자주 8%],
어떤 맛을 갖고 있나요?

새콤달콤한 유자 향 뒤에

고소 담백한 곡물 향을 느낄 수 있는 술이에요.

맛을 보면 유자차로 착각할 만큼 비슷한 맛을 가지고 있는데요.

달콤한 맛이 자연스럽게 사라질 때 쯤

누룩의 고소하고 담백한 맛이 느껴지면서

비로소 약주를 마시고 있음을 깨닫게 될 거예요 :)
[고흥 유자주 8%],
어떤 음식과 잘 어울리나요?

와플이나 과일 타르트 같은 디저트류와

달콤하게 즐기기 좋은 술이에요.

음식과 함께한다면?크림 새우나 탕수육을 추천하는데요.

유자의 새콤 쌉싸름한 맛이?느끼한 맛을 싹 잡아줄 거에요.
?


[고흥 유자주 8%],
알고 마시면 더 맛있어요!

전남 고흥은 우리나라 유자 생산량 중 43%를 차지하는 곳이에요.

30년 이상 된 고목에서 자란 유자를 술에 넣어 사용하는데요.

나이가 많은 나무는 생산량이 떨어지는 대신

더욱 농축된 당도와 풍미를 지닌 과실을 맺어

?프리미엄으로 인정받는다고 합니다.

",
이도 22%,증류식소주,22.00%,375ml,세종대왕 ‘이도’가 22세의 나이로 즉위함을 기린 소주,#유기농 쌀로 내린 진짜소주 #부드럽고 깔끔해요,쌀의 옅은 단맛을 느끼며 부드럽게 마셔보세요,향의 계열:고소2|연상되는 향:쌀밥|향의 강도:3|여운:3|바디:3,"[이도 22], 어떤 맛을 갖고 있나요?

‘이도 22’는 곡물의?달짝지근한 풍미를

옅게 느낄 수 있는 술인데요.

마시는 순간 입안 전체를 짧게 스친 후,

깔끔하게 사라지는 것을 느낄 수 있을 거예요.

또한, 낮은 도수를 가진 술인 만큼?작열감이 강하지 않으며

부드럽게?넘어간답니다.

[이도 22], 어떤 음식과 잘 어울리나요?

상온에서 마셔도 깔끔한 맛의 ‘이도22’ 이지만,

차가운 상태로 마셨을 때 느껴지는

그?깔끔함과 부드러움은 가히 일품인데요.

된장으로 맛을 낸 시원한 국물 요리와 함께할 때 달짝지근한

술의 풍미가 더욱 살아난답니다.

제가 감히 장담하는데... 김이 모락모락 나는 쌀밥과

국물 요리에 ‘이도22‘를 반주로 곁들인다면

최고의 저녁 술자리가 될 거예요.
[이도 22], 알고 마시면 더 맛있어요!

‘이도 22’는 세종대왕이 왕의 자리에 즉위한 나이를 기리며

만들어진 증류식 소주입니다.

술의 의미만큼이나 ‘이도’가 특별한 이유는

유기농 쌀과 토종 효모 ‘N9’을 이용해 빚은 술이기 때문인데요.



부드러운 맛과 이취 차단을 위해 압력을 낮춰 증류하는

감압식 증류 방식으로 만들어지며,

일정하고 구수한 향을 위해?1년 넘게 숙성을 한답니다.



특히 이도는 쌀 소비량이 막걸리 대비 7배나 많다고 하니

놀랍지 않으신가요??
",
문배술 40%,증류식소주,40.00%,200ml,화려한 문배향이 나를 감싸네,#한국의 고량주 #향기로운 꽃향,향기롭고 달콤한 꽃향에 빠져보세요,"향의 계열:고소1,화사2|연상되는 향:파인애플,아카시아꽃,쌀밥|향의 강도:4|여운:4|바디:4","[문배술 40], 어떤 맛을 갖고 있나요?

달콤한 꽃 향과 감칠맛이 확 올라오는데요.

배와 사과 같은?과실 향기와

그 뒤를 은은하게 받치는?향신료의 뉘앙스를 가져서

마치 고량주 같은 느낌이 든답니다.

높은 도수치고?부드럽게 넘어가는 목 넘김에

문배술의 매력을 잘 알게 될 거예요!


[문배술 40], 어떤 음식과 잘 어울리나요?

고량주와 느낌이 흡사하기 때문에

하나의 맛을 살린 요리보다는

복합적인 재료와 독특한 향신료를 사용하는 요리와

함께하기 좋은데요 :)

특히 향신료 강한 중국요리들과 함께라면

좋은 궁합을 경험할 수 있습니다.


[문배술 40], 알고 마시면 더 맛있어요!

문배주는 평안도 지방에서 내려오는 술로

그 향기가 문배나무의 과실 향과 같아서 붙여진 이름이에요.

주재료가 100% 국산 메조와 찰수수 등 잡곡으로 빚는 소주이며,

단식 감압증류 방식으로 원료의 풍미를 극대화해서

지금의 문배술이 되었답니다.
",
